x, Tf, Ts , Tf* , Ts*
0.0,873.0,293.0,873.0,293.0
0.01,805.543216089838,361.0401475324678,293.0,293.0
0.02,750.4764800675274,401.1148003270011,293.0,293.0
0.03,703.4846823649411,420.45539233045156,293.0,293.0
0.04,661.4913410109367,424.40994244651,293.0,293.0
0.05,622.3405861574839,416.979467135065,293.0,293.0
0.06,584.5671206240137,401.20146974495617,293.0,293.0
0.07,547.2287457525748,379.4221769471388,293.0,293.0
0.08,509.7829677184633,353.48789791696294,293.0,293.0
0.09,471.9942399147449,324.87774577994173,293.0,293.0
0.1,433.8620976243868,294.7941016807458,293.0,293.0
0.11,395.56320624317203,264.2229775002275,293.0,293.0
0.12,357.4024685016176,233.97337393090697,293.0,293.0
0.13,319.77002285212694,204.70249116937939,293.0,293.0
0.14,283.1023384564538,176.93197632775045,293.0,293.0
0.15,247.8467283709183,151.05910067917952,293.0,293.0
0.16,214.4294663424173,127.36572182885183,293.0,293.0
0.17,183.2282792287832,106.02701664834551,293.0,293.0
0.18,154.55026768102425,87.12122323629389,293.0,293.0
0.19,128.61627422113128,70.64098640344189,293.0,293.0
0.2,105.55239989032741,56.50636372388181,293.0,293.0
0.21,85.38884087519263,44.579131134585566,293.0,293.0
0.22,68.06558215868996,34.67774235845743,293.0,293.0
0.23,53.44386864166461,26.59215170698514,293.0,293.0
0.24,41.321888223693804,20.0976991597858,293.0,293.0
0.25,31.452826862076012,14.967360069730487,293.0,293.0
0.26,23.56342712210187,10.981847704472854,293.0,293.0
0.27,17.3713845763691,7.937286738417216,293.0,293.0
0.28,12.600295484085702,5.6504110829839025,293.0,293.0
0.29,8.99134532828752,3.961447123441447,293.0,293.0
0.3,6.311417091656674,2.7350005634592054,293.0,293.0
0.31,4.35772894368191,1.8593605943043077,293.0,293.0
0.32,2.959435078812045,1.2446692409129103,293.0,293.0
0.33,1.9768200223038934,0.8203855581126026,293.0,293.0
0.34,1.2987899929537519,0.5324182563782692,293.0,293.0
0.35000000000000003,0.8393371347867186,0.3402224591384251,293.0,293.0
0.36,0.5335552928277294,0.21407151398565716,293.0,293.0
0.37,0.3336525718124509,0.1326347727598288,293.0,293.0
0.38,0.2052646460322213,0.08092464037679545,293.0,293.0
0.39,0.12424427423593644,0.048624625558135154,293.0,293.0
0.4,0.07399864736241642,0.028775021287441725,293.0,293.0
0.41000000000000003,0.043371364710513026,0.016772384080844353,293.0,293.0
0.42,0.025018694227533174,0.00963015447477146,293.0,293.0
0.43,0.014205675598004461,0.005447206850165371,293.0,293.0
0.44,0.00794055756841165,0.003035725417180947,293.0,293.0
0.45,0.004370090428287617,0.0016670469644095786,293.0,293.0
0.46,0.002368321428457933,9.021568200410148E-4,293.0,293.0
0.47000000000000003,0.001264049253359688,4.8119776480694E-4,293.0,293.0
0.48,6.645459861395618E-4,2.530171790574137E-4,293.0,293.0
0.49,3.4418576343389276E-4,1.3119223824757155E-4,293.0,293.0
0.5,1.756513857772649E-4,6.71450844170328E-5,293.0,293.0
0.51,8.835731506993928E-5,3.4036225172785735E-5,293.0,293.0
0.52,4.384689498300652E-5,1.730799377378933E-5,293.0,293.0
0.53,2.1530550582738674E-5,9.248566928606027E-6,293.0,293.0
0.54,1.0584705514275513E-5,5.945536061402604E-6,293.0,293.0
0.55,5.444803243852044E-6,5.646862457344162E-6,293.0,293.0
0.56,3.35650600345434E-6,7.961550062862504E-6,293.0,293.0
0.5700000000000001,3.0906387317123023E-6,1.359721308915229E-5,293.0,293.0
0.58,4.318697515364836E-6,2.4507568860024266E-5,293.0,293.0
0.59,7.382442053354347E-6,4.4453328662252974E-5,293.0,293.0
0.6,1.3337332874994607E-5,8.009771220603704E-5,293.0,293.0
0.61,2.4247931198156745E-5,1.4288998286831475E-4,293.0,293.0
0.62,4.37928936398677E-5,2.52162752914173E-4,293.0,293.0
0.63,7.831939895430741E-5,4.401091699865418E-4,293.0,293.0
0.64,1.3859022207625703E-4,7.596470279847172E-4,293.0,293.0
0.65,2.4260996595825722E-4,0.0012966575396669998,293.0,293.0
0.66,4.2012168963568143E-4,0.0021887537760137913,293.0,293.0
0.67,7.196575345419572E-4,0.0036536417949203444,293.0,293.0
0.68,0.0012194392171956023,0.006031345834630751,293.0,293.0
0.6900000000000001,0.0020439954974271956,0.009846138421721119,293.0,293.0
0.7000000000000001,0.00338913969580018,0.015896001835885052,293.0,293.0
0.71,0.005558982095209017,0.025379888164557746,293.0,293.0
0.72,0.00901999302571592,0.04007595110035831,293.0,293.0
0.73,0.014478833287683266,0.06258725877422275,293.0,293.0
0.74,0.0229927698773964,0.09667516688081404,293.0,293.0
0.75,0.03612401734648907,0.14770436217130145,293.0,293.0
0.76,0.05615227731117406,0.2232273185454739,293.0,293.0
0.77,0.08636303452666941,0.3337391949252609,293.0,293.0
0.78,0.13143269408266173,0.49363662597464686,293.0,293.0
0.79,0.19793523021098397,0.7224149524938243,293.0,293.0
0.8,0.29499841191436194,1.0461377588619432,293.0,293.0
0.81,0.4351405586109656,1.4992097670843452,293.0,293.0
0.8200000000000001,0.6353207999835243,2.126478994307731,293.0,293.0
0.8300000000000001,0.9182366013582236,2.9856867018169146,293.0,293.0
0.84,1.3139015594113963,4.15027450535632,293.0,293.0
0.85,1.8615340255396264,5.712547973619155,293.0,293.0
0.86,2.611783184232924,7.787186471473229,293.0,293.0
0.87,3.6293147817134805,10.515081684793756,293.0,293.0
0.88,4.995776555707193,14.067484248438076,293.0,293.0
0.89,6.813170971044107,18.650441204505693,293.0,293.0
0.9,9.207700055442643,24.509517963970755,293.0,293.0
0.91,12.33426895047221,31.934816128999095,293.0,293.0
0.92,16.38219577080957,41.266315931597646,293.0,293.0
0.93,21.583714290373834,52.89956534592087,293.0,293.0
0.9400000000000001,28.229825463507705,67.29163646692955,293.0,293.0
0.9500000000000001,36.70653892111655,84.96687018332017,293.0,293.0
0.96,47.588820485241044,106.52065071733432,293.0,293.0
0.97,61.89909217122843,132.61562706126244,293.0,293.0
0.98,81.83646710231032,163.95365727829466,293.0,293.0
0.99,112.85475299817205,201.17461005511328,293.0,293.0
1.0,169.60859384527174,244.54074764433906,293.0,293.0
1.01,293.0,293.0,293.0,293.0
